source_name,feed_url,site_domain,language,region_scope,permission_status,terms_url,notes
"Amar Ujala-Bulandshahr","https://www.amarujala.com/rss/bulandshahr.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Pilibhit","https://www.amarujala.com/rss/pilibhit.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Bijnor","https://www.amarujala.com/rss/bijnor.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Mathura","https://www.amarujala.com/rss/mathura.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Bareilly","https://www.amarujala.com/rss/bareilly.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Bahraich","https://www.amarujala.com/rss/bahraich.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Pratapgarh","https://www.amarujala.com/rss/pratapgarh.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Budaun","https://www.amarujala.com/rss/budaun.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Allahabad","https://www.amarujala.com/rss/allahabad.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Ballia","https://www.amarujala.com/rss/ballia.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Firozabad","https://www.amarujala.com/rss/firozabad.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Banda","https://www.amarujala.com/rss/banda.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Farrukhabad","https://www.amarujala.com/rss/farrukhabad.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Fatehpur","https://www.amarujala.com/rss/fatehpur.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Balrampur","https://www.amarujala.com/rss/balrampur.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Mahoba","https://www.amarujala.com/rss/mahoba.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Mirzapur","https://www.amarujala.com/rss/mirzapur.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Raebareli","https://www.amarujala.com/rss/raebareli.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Moradabad","https://www.amarujala.com/rss/moradabad.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Meerut","https://www.amarujala.com/rss/meerut.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
